incident_id,name,start_date,end_date,incident_type,receiver_country,receiver_regions,receiver_category,receiver_subcategory,initiator_name,initiator_country,initiator_category,initiator_subcategory,attribution_type,attributing_actor,cyber_conflict_issue,zero_days,mitre_initial_access,mitre_impact,has_disruption,data_theft,hijacking,impact_indicator_score,functional_impact,intelligence_impact,economic_impact_value,response_indicator,start_year
4163, Russian State-Sponsored Actors Linked to GRU Disrupted Ukrainian State Registries in Cyber-Attack on 19 December 2024,2024-12-19,2024-12-19,"Disruption, Hijacking with Misuse",Ukraine,"EUROPE, EASTEU",State institutions / political system,Government / ministries,Unknown,Russia,State,Not available,Media statement / Social media,Deputy Prime Minister and Justice Minister Olga Stefanishyna,International power,Not available,Not available,Data Destruction,True,Not available,System Misuse,8,Weeks (< 4 weeks),No Impact,0,Countermeasures,2024.0
4161,"Unknown threat actors stole Microsoft Azure account credentials from automotive, chemical, and industrial manufacturing companies in Europe beginning in June 2024",2024-06-01,,"Data theft, Hijacking with Misuse","Germany, United Kingdom, Europe (region)","EUROPE, NATO, EU, WESTEU, EUROPE, NATO, NORTHEU","Critical infrastructure, Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Chemicals, Critical Manufacturing",Not attributed,Not attributed,Not attributed,Not available,Not available,Not available,Unknown,No,Phishing,Account Access Removal,False,Non-sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Unfriendly Acts / Retorsions,2024.0
4160,Unspecified US intelligence agencies stole trade secrets from a a major Chinese high-tech enterprise since at least May 2023,2023-05-01,,"Data theft, Hijacking with Misuse",China,"ASIA, SCS, EASIA, NEA, SCO",Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),Not available,Unknown,United States,State,Not available,Political statement / report,CNCERT,Unknown,Unknown,Exploit Public-Facing Application,Data Exfiltration,False,Sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Countermeasures,2023.0
4159,Unspecified US intelligence agency stole trade secrets from an unnamed Chinese advanced materials design and research since at least August 2024,2024-08-01,,"Data theft, Hijacking with Misuse",China,"ASIA, SCS, EASIA, NEA, SCO","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition), Critical infrastructure",Research,Unknown,United States,State,Not available,Political statement / report,CNCERT,Unknown,Unknown,Exploit Public-Facing Application,Data Exfiltration,False,Sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Countermeasures,2024.0
4158,Unknown Threat Actors breached the Attorney General's Office of Nuevo León in Mexico in March 2024,2024-03-01,,"Data theft & Doxing, Hijacking with Misuse",Mexico,Not available,State institutions / political system,Judiciary,Not attributed,Not attributed,Not attributed,Not available,Not available,Not available,Unknown,No,Not available,Data Exfiltration,False,Sensitive information,System Misuse,7,No system interference/disruption,Corruption / Major Breach,0,Unfriendly Acts / Retorsions,2024.0
4157,Unknown threat actors disrupted Avril supermarket chain in Canada beginning 11 December 2024,2024-12-11,2024-12-12,"Disruption, Hijacking with Misuse",Canada,"NATO, NORTHAM",Critical infrastructure,Food,Not attributed,Not attributed,Not attributed,Not available,Not available,Not available,Unknown,No,Not available,Service Stop,False,Not available,System Misuse,7,Days (< 7 days),No Impact,0,Unfriendly Acts / Retorsions,2024.0
4156,Ransomware group Hunters International stole data from French digital services company Ecritel on 8 December 2024,2024-12-08,2024-12-08,"Data theft, Hijacking with Misuse, Ransomware",France,"EUROPE, NATO, EU, WESTEU",Critical infrastructure,Telecommunications,Hunters International ransomware gang,Unknown,Non-state-group,Criminal(s),Media statement / Social media,Hunters International,Not available,No,Not available,Data Exfiltration,False,Non-sensitive information,System Misuse,7,No system interference/disruption,Corruption / Major Breach,0,Unfriendly Acts / Retorsions,2024.0
4155,Russian threat actor NoName057(16) launched DDoS campaign against German companies on 17 December 2024,2024-12-17,2024-12-17,Disruption,Germany,"EUROPE, NATO, EU, WESTEU","Critical infrastructure, Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Energy, Defence industry, Chemicals, Critical Manufacturing",NoName057(16),Russia,State affiliated actor,Non-state group(state-affiliation suggested),Media statement / Social media,NoName05716,International power,No,Not available,Network Denial of Service,True,Not available,Not available,7,Days (< 7 days),No Impact,0,Countermeasures,2024.0
4154,Unknown threat actors breached ConnectOnCall in the United States beginning on 16 February,2024-02-16,2024-05-12,"Data theft, Disruption, Hijacking with Misuse",United States,"NATO, NORTHAM","Critical infrastructure, Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)",Health,Not attributed,Not attributed,Not attributed,Not available,Not available,Not available,Unknown,No,Not available,Data Exfiltration,False,Sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Unfriendly Acts / Retorsions,2024.0
4153,Unknown threat actors hacked and stole data from the Facebook account of the municipality of Arauco in Chile by using a massive social media attack on 13 December 2024,2024-12-13,2024-12-13,"Data theft & Doxing, Hijacking with Misuse",Chile,SOUTHAM,State institutions / political system,Civil service / administration,Unknown,China,Unknown,Not available,Media statement / Social media,Investigations Police of Chile (PDI),Not available,No,Not available,Defacement,False,Non-sensitive information,System Misuse,8,No system interference/disruption,Minor Breach + Corruption,0,Countermeasures,2024.0
